Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
the ship: remasted,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
the land of pain,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the janitor,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
emporea: realms of war and magic,"RPG, Strategy, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
anima: gate of memories,"Action, Adventure, RPG, Fighting",Нет описания,Teen,Средняя,Нет данных
the lord of the rings: journeys in middle-earth,"Adventure, RPG, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
rain of reflections: chapter 1,"Adventure, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
katawa shoujo,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
cast of the seven godsends,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
the elder scrolls v: skyrim legendary edition,"Adventure, RPG",Нет описания,Mature,Высокая,Нет данных
need for speed world,"Racing, Arcade, Massively Multiplayer",Нет описания,Все возрастные группы,Средняя,Нет данных
stick rpg 2: director's cut,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
badland bandits,"Action, RPG, Simulation, Racing, Massively Multiplayer","Badland Bandits is a universe of steampunk, where pilots of deadly machines put resources before human lives. Get behind the wheel of most diverse machines, install unique modules and destroy enemies on earth and in the air improving your skills in each battle. * Mac-players - please read in full description below.",Все возрастные группы,Низкая,Нет данных
nam,Action,Нет описания,Все возрастные группы,Низкая,Нет конкурентов
void invaders,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the guest,"Action, Adventure, Indie, Puzzle",Нет описания,Все возрастные группы,Средняя,Нет данных
shift,"Strategy, Board Games, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
flat kingdom paper's cut edition,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
chromagun,"Action, Shooter, Adventure, Arcade, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
serious sam vr: the second encounter,"Action, Indie",Нет описания,Mature,Низкая,Нет данных
police stories: the academy,"Action, Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
demon turf,"Action, Adventure, Indie, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
beholder 3,Puzzle,Нет описания,Все возрастные группы,Низкая,Нет конкурентов
grand theft auto: the trilogy – the definitive edition,"Action, Shooter",Нет описания,Mature,Низкая,Нет данных
"pokémon brilliant diamond, shining pearl","Adventure, RPG",Нет описания,Everyone,Средняя,Нет данных
misbits,"Action, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
bladed fury,"Action, Adventure, Platformer",Нет описания,Teen,Низкая,Нет данных
disney's darkwing duck,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
sos i pie sos,"Action, Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
tony hawk's american wasteland,"Sports, Arcade",Нет описания,Teen,Средняя,Нет данных
